"NUTS_ID","NUTS_NAME","forest_surface_area_km2","NUTS_surface_area"
"ES52","Comunitat Valenciana",12499.4544064785,23255
"ES53","Illes Balears",1831.29615674454,4990
"ES61","Andalucía",32009.7286891117,87600
"ES62","Región de Murcia",2320.01662625563,11314
"ES63","Ciudad de Ceuta",12,20
"ES64","Ciudad de Melilla",0,14
"ES70","Canarias",0,7447
"FI19","Länsi-Suomi",50627.0652740588,64763
"FI1B","Helsinki-Uusimaa",6144.62476283738,9568
"FI1C","Etelä-Suomi",24560.8842190237,35379
"FI1D","Pohjois- ja Itä-Suomi",160369.901322999,227120
"FI20","Åland",867.676777251185,1581
"FR10","Ile-de-France",2397.89593062041,12070
"FRB0","Centre — Val de Loire",9136.66813233273,39529
"FRC1","Bourgogne",9850.8196965268,31754
"FRC2","Franche-Comté",9176.9334021683,16308
"FRD1","Basse-Normandie",1655.14960048035,17758
"FRD2","Haute-Normandie",1956.34152652005,12355
"FRE1","Nord-Pas de Calais",796.753485992068,12444
"FRE2","Picardie",2551.92772830814,19505
"FRF1","Alsace",3844.53057624461,8329
"FRF2","Champagne-Ardenne",6698.899486427,25720
"FRF3","Lorraine",9636.17771073893,23669
"FRG0","Pays de la Loire",2611.19751520642,32376
"FRH0","Bretagne",3821.46868309158,27471
"FRI1","Aquitaine",20469.3321247892,41804
"FRI2","Limousin",8474.55453350854,17056
"FRI3","Poitou-Charentes",2875.26261285183,25967
"FRJ1","Languedoc-Roussillon",13251.9179994841,27643
"FRJ2","Midi-Pyrénées",14473.8865949004,45603
"FRK1","Auvergne",10122.1992443826,26172
"FRK2","Rhône-Alpes",20374.5173783898,44962
"FRL0","Provence-Alpes-Côte d’Azur",13240.458448053,31839
"FRM0","Corse",5543.59857865834,8726
"FRY1","Guadeloupe",0,1685
"FRY2","Martinique",0,1108
"FRY3","Guyane",0,83751
"FRY4","La Réunion",0,2504
"FRY5","Mayotte",0,367
"HR02","Panonska Hrvatska",10056.8212910702,23220
"HR03","Jadranska Hrvatska",6854.1529105126,24705
"HR05","Grad Zagreb",143.119079837618,641
"HR06","Sjeverna Hrvatska",2511.54364954302,8028
"HU11","Budapest",53.1752411575563,525
"HU12","Pest",1770.04813256181,6391
"HU21","Közép-Dunántúl",2860.04098854732,11086
"HU22","Nyugat-Dunántúl",3689.20835820896,11328
"HU23","Dél-Dunántúl",3996.87783935205,14197
"HU31","Észak-Magyarország",5187.48948911484,13426
"HU32","Észak-Alföld",1748.79868812232,17723
"HU33","Dél-Alföld",1765.32721179009,18336
"IE04","Northern and Western",3246.12126377998,25796
"IE05","Southern",3139.78894769294,29685
"IE06","Eastern and Midland",1347.81941587824,14466
"IS00","Ísland",361.772649651781,102679
"ITC1","Piemonte",9287.48053953872,25387
"ITC2","Valle d’Aosta/Vallée d’Aoste",894.303195848129,3261
"ITC3","Liguria",4254.85919869174,5416
"ITC4","Lombardia",6615.81377810007,23864
"ITF1","Abruzzo",3525.54862446693,10833
"ITF2","Molise",1449.20782947325,4461
"ITF3","Campania",4408.40609555189,13670
"ITF4","Puglia",1189.41122891566,19541
"ITF5","Basilicata",3043.64703145356,10073
"ITF6","Calabria",6806.93935926773,15222
"ITG1","Sicilia",2510.37990933679,25833
"ITG2","Sardegna",6259.05876373304,24106
"ITH1","Provincia Autonoma di Bolzano/Bozen",3685.46604161903,7398
"ITH2","Provincia Autonoma di Trento",4016.54392446634,6207
"ITH3","Veneto",4723.29243801456,18407
"ITH4","Friuli-Venezia Giulia",3518.26237842617,7862
"ITH5","Emilia-Romagna",6776.20522066317,22453
"ITI1","Toscana",11910.2197554822,22988
"ITI2","Umbria",3913.52157883323,8464
"ITI3","Marche",2567.04597701149,9401
"ITI4","Lazio",5595.07809766184,17232
"LI00","Liechtenstein",70.3664921465969,160
"LT01","Sostinės regionas",4892.39918900653,9730
"LT02","Vidurio ir vakarų Lietuvos regionas",17937.2309169344,55554
"LU00","Luxembourg",880.531040779063,2595
"LV00","Latvija",35114.1779613804,64586
"ME00","Црна Гора",8296.32181664389,13882
"MK00","Северна Македонија",11050.832300175,25435
"MT00","Malta",3.42238267148014,316
"NL11","Groningen",22.3513011152416,2405
"NL12","Friesland (NL)",108.52275334608,3997
"NL13","Drenthe",420.539932508436,2680
"NL21","Overijssel",465.638217690091,3421
"NL22","Gelderland",1216.21532738095,5137
"NL23","Flevoland",158.593493263227,2413
"NL31","Utrecht",225.865039840637,1449
"NL32","Noord-Holland",143.330872774642,3403
"NL33","Zuid-Holland",59.8879167651927,3247
"NL34","Zeeland",3.07875894988067,1935
"NL41","Noord-Brabant",988.81961147086,5082
"NL42","Limburg (NL)",370.735868806699,2209
"NO02","Innlandet",24111.7008014248,52072
"NO06","Trøndelag",16110.9349031175,42202
"NO07","Nord-Norge",12460.9370755998,112985
"NO08","Oslo og Viken",15092.0969907121,25047
"NO09","Agder og Sør-Østlandet",19443.3360726159,33900
"NO0A","Vestlandet",15105.9478789029,57604
"NO0B","Jan Mayen and Svalbard",0,60676
"PL21","Małopolskie",5466.77462121212,15183
"PL22","Śląskie",4551.9150038373,12333
"PL41","Wielkopolskie",7533.19890009166,29826
"PL42","Zachodniopomorskie",8860.78097982709,22443
"PL43","Lubuskie",7534.39370591427,13988
"PL51","Dolnośląskie",5857.68027078551,19947
"PL52","Opolskie",2498.94232861806,9412
"PL61","Kujawsko-pomorskie",3996.8302416856,17972
"PL62","Warmińsko-mazurskie",7779.4443499134,24011
"PL63","Pomorskie",6729.28052673583,18170
"PL71","Łódzkie",4022.23620178042,18219
"PL72","Świętokrzyskie",3888.2011574536,11709
"PL81","Lubelskie",5624.22696573518,25123
"PL82","Podkarpackie",8226.41777501001,17846
"PL84","Podlaskie",5974.45597897503,20187
"PL91","Warszawski stołeczny",1636.36198409693,6104
"PL92","Mazowiecki regionalny",6243.1710872594,29455
"PT11","Norte",7929.47003525264,21287
"PT15","Algarve",1518.75330996885,4997
"PT16","Centro (PT)",14035.1855607382,28200
"PT17","Área Metropolitana de Lisboa",678.049907578558,3015
"PT18","Alentejo",7878.59572521877,31604
"PT20","Região Autónoma dos Açores",923.85755218993,2322
"PT30","Região Autónoma da Madeira",0,802
"RO11","Nord-Vest",11838.6385322906,34160
"RO12","Centru",14502.7429779523,34092
"RO21","Nord-Est",11616.4128173403,36853
"RO22","Sud-Est",4733.2758442071,35774
"RO31","Sud-Muntenia",6397.37426137672,34467
"RO32","Bucureşti-Ilfov",189.008298755187,1804
"RO41","Sud-Vest Oltenia",8175.54306105314,29206
"RO42","Vest",14302.4391505581,32042
"SE11","Stockholm",3956.1902884095,7153
"SE12","Östra Mellansverige",29939.9857490492,43154
"SE21","Småland med öarna",28952.0502070393,35879
"SE22","Sydsverige",7301.1744286954,14341
"SE23","Västsverige",21456.2786925212,34465
"SE31","Norra Mellansverige",58707.3262131023,71640
"SE32","Mellersta Norrland",57432.7405009136,76709
"SE33","Övre Norrland",95329.8226731764,164083
"SI03","Vzhodna Slovenija",7318.68553678626,12433
"SI04","Zahodna Slovenija",5178.77085162423,7840
"SK01","Bratislavský kraj",660.074196207749,2053
"SK02","Západné Slovensko",3533.85812862269,14992
"SK03","Stredné Slovensko",8777.6311844078,16263
"SK04","Východné Slovensko",6987.41132350643,15727
"TR10","İstanbul",2233.39936460475,5340
"TR21","Tekirdağ, Edirne, Kırklareli",3130.67386897404,18839
"TR22","Balıkesir, Çanakkale",8106.04407558116,24067
"TR31","İzmir",2760.02436754379,11802
"TR32","Aydın, Denizli, Muğla",9946.49402046603,32027
"TR33","Manisa, Afyonkarahisar, Kütahya, Uşak",6911.18092622487,45351
"TR41","Bursa, Eskişehir, Bilecik",7283.65695243074,29108
"TR42","Kocaeli, Sakarya, Düzce, Bolu, Yalova",11692.4871913438,20216
"TR51","Ankara",1126.34713577578,25460
"TR52","Konya, Karaman",590.865009823183,49547
"TR61","Antalya, Isparta, Burdur",8936.05773084213,36562
"TR62","Adana, Mersin",4809.0544115185,29251
