NUTS_ID,NUTS_NAME,ocean,urban,cropland,pasture/rangeland,forest,unmanaged grass/shrubland,sparse/no vegetation,water,no data
CZ05,Severovýchod,0.0,7.361688519347617,39.75055964182923,17.230572433642468,33.49536296770067,2.0019187719859293,0.025583626479053406,0.1343140390150304,
CZ06,Jihovýchod,0.0,8.409368280351021,53.75719184053002,8.357063985587262,27.209856453768815,1.8945777881094903,0.0,0.3719416516533969,
CZ07,Střední Morava,0.0,7.839675112562902,36.68226361790412,12.59821665048115,41.09649510020306,1.6685795003089963,0.0,0.11477001853977223,
CZ08,Moravskoslezsko,0.0,13.057559252171352,31.723833357868394,17.97438539673193,33.79949948476373,3.1650228176063595,0.0,0.2796996908582364,
DE11,Stuttgart,0.0,22.97140199953499,29.373014027745487,8.339145935053864,35.22436642641246,4.061071068743703,0.031000542509493915,,
DE12,Karlsruhe,0.0,23.72718539865514,16.534582132564843,4.9471661863592695,51.32084534101825,3.266090297790586,0.04803073967339097,0.15609990393852063,
DE13,Freiburg,0.0,15.431284621471908,11.922975468214192,13.76066121515871,54.45353029104019,3.4115888507869516,0.026378264310208392,0.9935812890178493,
DE14,Tübingen,0.0,15.927794000530927,17.440934430581365,26.1835235819839,33.297938235554376,4.663304132377666,0.053092646668436425,2.4334129723033358,
DE21,Oberbayern,0.0,15.172642762284196,20.242838171125026,21.44754316069057,37.20830961866818,4.235439195598558,0.12805919180421174,1.5651678998292544,
DE22,Niederbayern,0.0,15.195521661528478,33.08453675158202,13.36199902644816,34.593542106117155,3.6508194061333765,0.048677592081778354,0.0649034561090378,
DE23,Oberpfalz,0.0,15.622154151833762,17.509727626459142,16.085768689461048,46.70916466594917,4.006954218064409,0.02483649308717609,0.04139415514529348,
DE24,Oberfranken,0.0,16.847105612019444,19.96243923994697,13.400353513035792,45.80203269995582,3.910737958462218,0.04418912947414936,0.03314184710561202,
DE25,Mittelfranken,0.0,20.07019083132266,28.82211011186664,10.758938363676245,35.863127878920814,4.211449879359509,0.043869269576661554,0.23031366527747313,
DE26,Unterfranken,0.0,13.951062215477997,34.58839150227618,4.552352048558421,43.351669195751136,3.537556904400607,0.0,0.01896813353566009,
DE27,Schwaben,0.0,14.999588375730632,22.911006832962872,27.891660492302627,28.072775170824073,5.573392607228122,0.041162426936692184,0.5104140940149832,
DE30,Berlin,0.0,71.84801381692574,4.576856649395509,0.6044905008635579,18.65284974093264,0.690846286701209,0.0,3.6269430051813467,
DEC0,Saarland,0.0,27.371794871794876,7.403846153846154,20.096153846153847,43.878205128205124,1.217948717948718,0.03205128205128205,,
DED2,Dresden,0.0,16.56088272629626,38.531393418611465,8.319500048823357,32.467532467532465,2.9977541255736746,0.09764671418806757,1.0252904989747096,
DED4,Chemnitz,0.0,17.029283782194522,35.787369163824536,13.642243913912736,31.08314712454428,2.3285899094437257,0.07056333058920382,0.05880277549100317,
DED5,Leipzig,0.0,17.009574251375025,60.66408637196985,4.094520268893868,14.666938276634752,1.8741087797922182,0.04074149521287431,1.6500305561214095,
DEE0,Sachsen-Anhalt,0.0,9.877819201948986,59.97932892842641,5.906020449595807,21.15462699789598,2.5654276327931784,0.06644273005795283,0.45033405928168024,
DEF0,Schleswig-Holstein,3.509592887225082,12.662611137108096,45.57323350491343,24.482919981282173,9.18577445016378,2.3912026204960224,0.0795507721104352,2.1151146467009827,
DEG0,Thüringen,0.0,11.492131338643869,43.020205945210805,6.280357489799883,36.62327569457936,2.4577423741985625,0.05342918204779483,0.07285797551972022,
DK01,Hovedstaden,8.876712328767123,29.698630136986303,27.753424657534246,3.534246575342466,19.506849315068493,6.410958904109589,0.0,4.219178082191781,
AT31,Oberösterreich,0.0,16.81538355122086,27.48841391713357,7.933872864356367,39.05374559037145,7.380507712526804,0.47727744345299855,0.8507989209379538,
AT32,Salzburg,0.0,4.876915931258709,0.35996284254528566,33.778448676265675,42.196934509986065,13.144449605202043,5.0278680910357645,0.6154203437064562,
AT33,Tirol,0.0,4.212283044058744,0.260347129506008,38.004005340453936,35.48731642189586,11.84245660881175,10.106809078771697,0.08678237650200267,
CY00,Κύπρος,1.5666082383873796,16.608238387379494,15.11831726555653,0.16432953549517965,18.032427695004383,43.28439964943032,2.1581945661700264,0.5696757230499562,2.497808939526731
CZ01,Praha,0.0,66.50246305418719,26.929392446633827,2.6272577996715927,3.9408866995073892,,,,
CZ02,Střední Čechy,0.0,10.042937195255076,55.66552652645368,7.233825776872134,25.543992431409652,1.360890764864275,0.0,0.15282730514518594,
CZ03,Jihozápad,0.0,5.698992443324937,36.07412738395106,13.907880532565672,41.876574307304786,1.920654911838791,0.013494062612450522,0.508276358402303,
CZ04,Severozápad,0.0,7.5421309512846495,28.197808269638085,21.7607514504098,40.252325260152865,1.5931485403812506,0.23022377751174142,0.4236117506216042,
DK03,Syddanmark,5.243554676133388,13.01286154920561,59.62870278763894,3.357970086713612,11.127276959785835,6.506430774602805,0.0698364662748065,1.053366699644998,
DK04,Midtjylland,4.648254299114122,10.807712350182387,54.30432516935903,3.5695674830640955,16.972381448671182,8.379364252214696,0.05211047420531526,1.266284523189161,
DK05,Nordjylland,9.549115668853275,9.042597359461928,51.94718923856182,7.19089927758864,13.277422569127296,7.365274433280744,0.10794652495225443,1.519554928174043,
EE00,Eesti,2.2199048612202334,2.0884819222033344,16.41501078525206,6.922560461694499,52.37632672885448,15.357913232290043,0.059997428681627926,4.559804579803723,
EL30,Aττική,15.807476178841926,22.941607622770587,9.039824089909601,34.10701197165893,15.709748350842903,1.0505741509894944,0.0,1.3437576349865623,
